source,target
owv,xdm
owv,wsv
owv,ixb
ara,ddp
yfg,gnt
yfg,qyc
pja,naz
pja,tmb
pja,gxl
sne,zts
sne,bqn
ltp,xic
ltp,zgb
ltp,zjc
svk,fss
svk,xpd
bfh,shj
iez,hoz
iez,ufw
iez,fgq
mhv,jrd
lwu,bhd
lwu,tto
sik,out
jmc,gkc
jmc,vve
jmc,tvr
jmc,rno
jmc,apr
jmc,kfz
jmc,xwu
jmc,har
jmc,zpa
jmc,qxz
jmc,wwt
jmc,yof
jmc,fny
jmc,aqg
jmc,pvw
jmc,pvx
jmc,szn
jmc,wno
jmc,njk
fad,nrj
lho,fad
lho,xdx
lho,kqd
lho,qpt
lho,byg
dcz,fgg
dcz,mwx
vlq,isl
vlq,vhx
vlq,nyz
har,opd
har,khy
har,lid
har,hyn
fed,ocu
fed,nzm
fed,rzv
tts,rbv
pph,nul
pph,ptq
aqg,jlk
aqg,bfk
aqg,xou
mef,cgh
mef,hpx
mef,yhw
mef,npb
bkz,njk
bkz,wno
bkz,pix
bkz,szn
bkz,csv
bkz,pvx
bkz,pvw
bkz,yof
bkz,fny
bkz,aqg
bkz,zpa
bkz,wwt
bkz,qxz
bkz,kfz
bkz,xwu
bkz,har
bkz,apr
bkz,rno
bkz,tvr
bkz,vve
bkz,gkc
gnt,veo
gnt,uha
gnt,yxw
vhb,nrj
vhb,fgq
vhb,hoz
vhb,yln
rbv,fft
rbv,ush
kye,rwv
kye,evw
wkk,dck
wkk,rto
fya,hta
oij,jwx
oij,kiw
dsq,mbz
jsp,plx
jsp,iyi
jsp,mpy
fhl,dxu
fhl,ipb
fhl,ydt
fhl,xln
fhl,pfw
yup,uxg
yup,txf
yup,wnf
hup,wfb
hup,zys
quj,bnz
qmq,yln
qmq,hoz
qmq,fgq
sac,jgq
sac,jrd
lng,cpi
xdz,ufw
xdz,fgq
xdz,hoz
xdz,yln
isl,egi
isl,wsv
isl,ixb
isl,tcq
fwz,nrj
fwz,hoz
fwz,fgq
fwz,ufw
fwz,yln
wsv,icp
wsv,gdx
wsv,bpk
wsv,ofy
wsv,knx
wsv,xyb
wsv,tvq
wsv,mzc
wsv,aiu
wsv,axp
wsv,zpq
wsv,mkb
wsv,qsu
wsv,vkn
wsv,cac
wsv,ktr
wsv,gvq
how,wfb
how,way
how,ohn
how,fks
rco,out
lxz,rws
fnd,gnt
fnd,qyc
vqv,hll
vqv,slp
vqv,gks
vqv,ajf
vqv,zpn
